F2 | F2-PC-05 | HEARTBEAT OK
F3 | F3-PC-09 | SYNC OK
F3 | F3-PC-02 | FLOW NORMAL -> F2-PC-04
F5 | F5-FIREWALL | AUTH OK user=dev
F4 | F4-FILE-01 | LINK ACTIVE -> F1-BADGE
F2 | F2-PC-02 | DNS OK
F3 | F3-PC-03 | HEARTBEAT OK
F2 | F2-WIFI | FILE WRITE
F3 | F3-PC-02 | LOGIN OK user=dev
F3 | F3-PC-09 | HEARTBEAT OK
F2 | F2-PRINTER-01 | FILE WRITE
F3 | F3-SWITCH | ACCESS OK
F2 | F2-PC-10 | DNS OK
F3 | F3-SWITCH | AUTH FAIL user=guest
F4 | F4-PC-04 | AUTH FAIL user=admin
F4 | F4-BADGE | ACCESS OK
F1 | F1-CAM-02 | LOGIN OK user=dev
F2 | F2-PC-06 | FILE READ
F2 | F2-PC-01 | PACKETS RX 853
F4 | F4-PC-02 | DNS OK
F1 | F1-WIFI | LINK ACTIVE -> F3-PC-03
F3 | F3-FILE-01 | AUTH OK user=staff
F2 | F2-PC-03 | FILE READ
F3 | F3-PC-09 | LOGIN OK user=admin
F2 | F2-PRINTER-01 | DEVICE IDLE
F4 | F4-PC-01 | DNS OK
F3 | F3-PC-08 | AUTH OK user=dev
F2 | F2-PRINTER-02 | SYNC OK
F2 | F2-PRINTER-01 | LOGIN OK user=reception
F3 | F3-PC-08 | SYNC OK
F3 | F3-PRINTER-01 | LINK ACTIVE -> F3-PC-03
F1 | F1-CAM-01 | PACKETS TX 414
F3 | F3-PC-08 | AUTH OK user=staff
F3 | F3-CLOUD | DNS OK
F5 | F5-HR | FILE READ
F4 | F4-CLOUD-01 | FLOW NORMAL -> F3-PC-07
F2 | F2-PC-08 | SYNC OK
F5 | F5-CORE-SW | ACCESS OK
F4 | F4-FILE-01 | FILE READ
F4 | F4-PC-02 | SYNC OK
F2 | F2-PC-08 | LOGIN FAIL user=guest
F1 | F1-CAM-03 | AUTH FAIL user=staff
F2 | F2-PRINTER-01 | FILE WRITE
F1 | F1-WIFI | FILE READ
F4 | F4-PC-04 | LOGIN OK user=dev
F3 | F3-PC-06 | HEARTBEAT OK
F2 | F2-PC-05 | ACCESS OK
F3 | F3-SWITCH | AUTH FAIL user=admin
F4 | F4-FILE-02 | SESSION ACTIVE
F4 | F4-CLOUD-01 | HEARTBEAT OK
F3 | F3-PC-07 | SESSION ACTIVE
F5 | F5-APP | AUTH FAIL user=admin
F5 | F5-APP | DNS OK
F2 | F2-PC-10 | DEVICE IDLE
F2 | F2-PRINTER-01 | HEARTBEAT OK
F3 | F3-PRINTER-01 | LOGIN FAIL user=guest
F2 | F2-PC-05 | DEVICE IDLE
F3 | F3-FILE-03 | SYNC OK
F1 | F1-CAM-04 | SYNC OK
F2 | F2-PC-01 | AUTH OK user=reception
F1 | F1-WIFI | FLOW NORMAL -> F2-PC-07
F5 | F5-BADGE | SESSION ACTIVE
F3 | F3-PC-07 | FILE WRITE
F3 | F3-PC-01 | DNS OK
F3 | F3-FILE-03 | FILE READ
F4 | F4-PC-03 | LOGIN OK user=dev
F4 | F4-SW-02 | AUTH FAIL user=staff
F3 | F3-PC-02 | AUTH OK user=admin
F1 | F1-RECEPTION-02 | SYNC OK
F3 | F3-PC-02 | HEARTBEAT OK
F2 | F2-BADGE | LINK ACTIVE -> F3-PC-03
F1 | F1-WIFI | LINK ACTIVE -> F3-PRINTER-02
F2 | F2-BADGE | SYNC OK
F3 | F3-PC-09 | LOGIN FAIL user=staff
F5 | F5-FIREWALL | FLOW NORMAL -> F5-BADGE
F3 | F3-PC-05 | LOGIN FAIL user=reception
F2 | F2-SWITCH | AUTH FAIL user=guest
F4 | F4-FILE-02 | DEVICE IDLE
F4 | F4-FILE-01 | FILE WRITE
F4 | F4-CLOUD-02 | LINK ACTIVE -> F2-PC-03
F1 | F1-CAM-04 | FILE READ
F3 | F3-SWITCH | AUTH FAIL user=staff
F2 | F2-SWITCH | DNS OK
F5 | F5-CORE-SW | LOGIN OK user=staff
F4 | F4-FILE-01 | SESSION ACTIVE
F3 | F3-PC-09 | LOGIN OK user=staff
F2 | F2-BADGE | LOGIN OK user=dev
F2 | F2-PC-03 | LINK ACTIVE -> F5-FIREWALL
F1 | F1-RECEPTION-01 | AUTH OK user=staff
F2 | F2-PRINTER-02 | FILE WRITE
F5 | F5-FILE | LOGIN FAIL user=staff
F4 | F4-DEV-01 | LINK ACTIVE -> F2-PRINTER-02
F4 | F4-PC-04 | HEARTBEAT OK
F4 | F4-PC-05 | ACCESS OK
F4 | F4-CLOUD-01 | PACKETS RX 437
F5 | F5-FILE | FLOW NORMAL -> F2-SWITCH
F3 | F3-FILE-01 | DNS OK
F1 | F1-CAM-04 | LINK ACTIVE -> F3-CLOUD
F1 | F1-CAM-04 | LINK ACTIVE -> F5-FINANCE
F5 | F5-APP | SESSION ACTIVE
F1 | F1-CAM-04 | AUTH OK user=staff
F1 | F1-WIFI | AUTH OK user=staff
F4 | F4-DEV-01 | AUTH FAIL user=dev
F3 | F3-PC-05 | LINK ACTIVE -> F2-PC-01
F4 | F4-DEV-03 | PACKETS TX 271
F3 | F3-BADGE | PACKETS TX 248
F3 | F3-PC-07 | FILE READ
F2 | F2-PC-07 | PACKETS RX 472
F3 | F3-CLOUD | AUTH OK user=guest
F4 | F4-CLOUD-01 | AUTH FAIL user=guest
F5 | F5-CORE-SW | DNS OK
F5 | F5-APP | ACCESS OK
F2 | F2-PC-07 | DEVICE IDLE
F1 | F1-WIFI | SYNC OK
F4 | F4-PC-03 | PACKETS RX 165
F4 | F4-SW-01 | PACKETS RX 630
F5 | F5-DOMAIN | HEARTBEAT OK
F3 | F3-FILE-02 | AUTH FAIL user=staff
F3 | F3-PC-07 | AUTH FAIL user=guest
F2 | F2-PC-10 | ACCESS OK
F3 | F3-PC-10 | DNS OK
F3 | F3-SWITCH | DNS OK
F3 | F3-PC-07 | LOGIN FAIL user=admin
F1 | F1-CAM-03 | AUTH OK user=reception
F3 | F3-PC-09 | LINK ACTIVE -> F1-KIOSK
F3 | F3-PRINTER-02 | FLOW NORMAL -> F3-PC-07
F2 | F2-PRINTER-01 | LOGIN OK user=dev
F4 | F4-FILE-01 | HEARTBEAT OK
F2 | F2-PC-05 | AUTH OK user=staff
F5 | F5-FIREWALL | LINK ACTIVE -> F4-PC-03
F2 | F2-PC-09 | FILE WRITE
F2 | F2-PC-07 | LINK ACTIVE -> F3-FILE-03
F4 | F4-PC-02 | LINK ACTIVE -> F4-PC-01
F3 | F3-BADGE | SYNC OK
F2 | F2-PC-04 | DEVICE IDLE
F4 | F4-DEV-02 | FLOW NORMAL -> F3-PC-04
F2 | F2-PRINTER-01 | SESSION ACTIVE
F4 | F4-DEV-02 | HEARTBEAT OK
F2 | F2-PRINTER-03 | PACKETS TX 805
F4 | F4-DEV-02 | SYNC OK
F3 | F3-PC-08 | SESSION ACTIVE
F2 | F2-PC-04 | FILE READ
F1 | F1-CAM-01 | LOGIN FAIL user=staff
F2 | F2-WIFI | LOGIN OK user=admin
F3 | F3-FILE-03 | SYNC OK
F3 | F3-PC-02 | HEARTBEAT OK
F2 | F2-SWITCH | FILE READ
F3 | F3-PRINTER-02 | ACCESS OK
F1 | F1-WIFI | ACCESS OK
F4 | F4-BADGE | FILE READ
F5 | F5-CORE-SW | PACKETS TX 32
F2 | F2-PC-05 | ACCESS OK
F2 | F2-PRINTER-03 | ACCESS OK
F1 | F1-CAM-01 | AUTH FAIL user=dev
F4 | F4-FILE-02 | DEVICE IDLE
F3 | F3-CLOUD | FILE WRITE
F5 | F5-BACKUP | AUTH FAIL user=reception
F2 | F2-SWITCH | ACCESS OK
F1 | F1-CAM-02 | FILE WRITE
F1 | F1-KIOSK | DNS OK
F4 | F4-PC-02 | FILE WRITE
F1 | F1-WIFI | PACKETS TX 642
F3 | F3-CLOUD | AUTH FAIL user=admin
F5 | F5-APP | PACKETS RX 686
F4 | F4-DEV-02 | PACKETS TX 416
F3 | F3-FILE-01 | FLOW NORMAL -> F2-SWITCH
F4 | F4-DEV-03 | FILE READ
F2 | F2-PRINTER-03 | PACKETS RX 419
F1 | F1-KIOSK | PACKETS RX 297
F3 | F3-BADGE | FILE WRITE
F3 | F3-PRINTER-01 | LOGIN OK user=reception
F4 | F4-SW-01 | DNS OK
F5 | F5-BACKUP | LOGIN FAIL user=staff
F2 | F2-PC-01 | PACKETS RX 531
F3 | F3-PRINTER-02 | AUTH OK user=staff
F3 | F3-FILE-03 | SYNC OK
F2 | F2-WIFI | FLOW NORMAL -> F1-BADGE
F1 | F1-CAM-02 | SYNC OK
F5 | F5-BADGE | AUTH OK user=reception
F4 | F4-DEV-03 | DNS OK
F4 | F4-PC-05 | LOGIN FAIL user=reception
F3 | F3-PC-05 | FLOW NORMAL -> F1-KIOSK
F2 | F2-PC-04 | FILE WRITE
F3 | F3-PC-02 | SESSION ACTIVE
F5 | F5-AUDIT | LOGIN OK user=guest
F3 | F3-PC-05 | AUTH FAIL user=reception
F2 | F2-PC-08 | LOGIN OK user=dev
F3 | F3-CLOUD | LOGIN OK user=dev
F5 | F5-APP | FILE WRITE
